ID_LEAD;score;prob_conversao;segmentacao
5902584;0.008124248;0.0028657147049909047;Muito Baixo
5902576;0.014655643;0.0028657147049909047;Muito Baixo
5902586;0.014655643;0.0028657147049909047;Muito Baixo
5902604;0.009449898;0.0028657147049909047;Muito Baixo
5902571;0.00999889;0.0028657147049909047;Muito Baixo
5902572;0.014655643;0.0028657147049909047;Muito Baixo
5902573;0.005894381;0.0028657147049909047;Muito Baixo
5902574;0.008316663;0.0028657147049909047;Muito Baixo
5902575;0.007933377;0.0028657147049909047;Muito Baixo
5902577;0.016034173;0.015015925278881797;Muito Baixo
5902578;0.0030485203;-0.011981436427173295;Muito Baixo
5902579;0.117025316;0.05361175730919791;Muito Baixo
5902580;0.023802333;0.015015925278881797;Muito Baixo
5902581;0.008124248;0.0028657147049909047;Muito Baixo
5902582;0.003931439;-0.011981436427173295;Muito Baixo
5902583;0.0066736457;0.0028657147049909047;Muito Baixo
5902585;0.061021775;0.04341998922905295;Muito Baixo
5902587;0.034817096;0.024830489137683563;Muito Baixo
5902588;0.034817096;0.024830489137683563;Muito Baixo
5902589;0.034817096;0.024830489137683563;Muito Baixo
5902590;0.034817096;0.024830489137683563;Muito Baixo
5902591;0.03219161;0.024830489137683563;Muito Baixo
5902592;0.034817096;0.024830489137683563;Muito Baixo
5902593;0.03378205;0.024830489137683563;Muito Baixo
5902594;0.015037318;0.015015925278881797;Muito Baixo
5902595;0.012447825;0.0028657147049909047;Muito Baixo
5902596;0.007933377;0.0028657147049909047;Muito Baixo
5902597;0.0051167407;0.0028657147049909047;Muito Baixo
5902598;0.014655643;0.0028657147049909047;Muito Baixo
5902599;0.0065676053;0.0028657147049909047;Muito Baixo
5902600;0.004988872;-0.011981436427173295;Muito Baixo
5902601;0.020962508;0.015015925278881797;Muito Baixo
5902602;0.018433694;0.015015925278881797;Muito Baixo
5902603;0.009449898;0.0028657147049909047;Muito Baixo
5902605;0.531647;0.15228142212828033;Médio
5902606;0.043433353;0.03263985936286578;Muito Baixo
5902607;0.0018020483;-0.011981436427173295;Muito Baixo
5902608;0.009665025;0.0028657147049909047;Muito Baixo
5902609;0.011217957;0.0028657147049909047;Muito Baixo
