iter	Logloss
0	0.6757754556
1	0.6625478331
2	0.6512582339
3	0.6327699109
4	0.6220708376
5	0.6148839924
6	0.6055236885
7	0.5935040622
8	0.5895267216
9	0.584409687
10	0.5775354156
11	0.5724551757
12	0.5685905008
13	0.5644291867
14	0.5617984381
15	0.5585934965
16	0.5537804165
17	0.5502031821
18	0.5479916612
19	0.5367518942
20	0.5345166886
21	0.531619468
22	0.529111308
23	0.5209428483
24	0.5176094512
25	0.5091245063
26	0.507235772
27	0.5028594118
28	0.4976221063
29	0.492014717
30	0.4901383321
31	0.4876174968
32	0.4861419424
33	0.4840705746
34	0.4811645537
35	0.4790911941
36	0.4770008495
37	0.4732487678
38	0.4711425971
39	0.4663622195
40	0.46395644
41	0.4607499412
42	0.4582887161
43	0.4564056314
44	0.4547853247
45	0.4521634487
46	0.4502047828
47	0.4420247342
48	0.4386563531
49	0.4360508827
50	0.4343956644
51	0.4320049143
52	0.4302160617
53	0.428405661
54	0.4215372927
55	0.4196145885
56	0.4149944996
57	0.4114813662
58	0.4101948555
59	0.4088701738
60	0.4073821251
61	0.4045223512
62	0.4024768049
63	0.4013678213
64	0.3979837953
65	0.3963291202
66	0.3950957734
67	0.3934051366
68	0.3922697883
69	0.3909425716
70	0.38837089
71	0.3873208649
72	0.3857257639
73	0.3844803212
74	0.3795960058
75	0.3780743131
76	0.376098626
77	0.3749155822
78	0.373403885
79	0.3718121158
80	0.3711208028
81	0.3693940594
82	0.368626477
83	0.3672099172
84	0.3651190294
85	0.3617149039
86	0.3576788585
87	0.3566659177
88	0.3555069571
89	0.354372478
90	0.3532550562
91	0.3524389454
92	0.350804406
93	0.3496052465
94	0.347941083
95	0.3445517696
96	0.3437126621
97	0.3427854429
98	0.3417464996
99	0.3401264463
100	0.339011958
101	0.3359818637
102	0.3351856351
103	0.3333946458
104	0.332494081
105	0.3315135891
106	0.330403338
107	0.3285161248
108	0.3275953157
109	0.3266978292
110	0.3250226563
111	0.3242730005
112	0.3232399965
113	0.3224292817
114	0.3213073331
115	0.3204426576
116	0.3197552921
117	0.3189596429
118	0.3174708337
119	0.3169008055
120	0.3159678281
121	0.315109599
122	0.314674364
123	0.312318127
124	0.31183545
125	0.3111458029
126	0.3076215152
127	0.306809207
128	0.3063457242
129	0.3052439112
130	0.3045536846
131	0.3040103471
132	0.3035326679
133	0.3022763425
134	0.3015668313
135	0.3012585852
136	0.3009459027
137	0.3003555759
138	0.2990509213
139	0.2983064442
140	0.2967811119
141	0.2958329965
142	0.2947334832
143	0.2932428633
144	0.2920321873
145	0.2915655718
146	0.2911921744
147	0.2906093985
148	0.2901221584
149	0.289363322
150	0.2885960837
151	0.2883118845
152	0.2878400902
153	0.2875841932
154	0.2867278292
155	0.2862500413
156	0.2855539478
157	0.2851439006
158	0.2845338908
159	0.2839330978
160	0.2836337244
161	0.2830578837
162	0.2827444588
163	0.2822892692
164	0.2820058486
165	0.2809096309
166	0.280411472
167	0.279452492
168	0.27918937
169	0.2787976115
170	0.2780504726
171	0.2775222912
172	0.2772455161
173	0.2767307162
174	0.2764986489
175	0.2759266108
176	0.2753516212
177	0.2745863385
178	0.2734958971
179	0.2732732638
180	0.2726329238
181	0.2708655468
182	0.2693305269
183	0.2687093085
184	0.2681245227
185	0.2679201962
186	0.2668921899
187	0.2664166655
188	0.2659661296
189	0.2654220135
190	0.265182015
191	0.2647702113
192	0.2644643916
193	0.2641395769
194	0.2636068143
195	0.2630361162
196	0.2626705232
197	0.2620307082
198	0.2603982512
199	0.259887761
200	0.2595997772
201	0.2594648935
202	0.259155416
203	0.258965793
204	0.2586593395
205	0.2580932407
206	0.2575725015
207	0.2571397654
208	0.2565736485
209	0.2563138221
210	0.2560610578
211	0.2556223643
212	0.255439785
213	0.2552287044
214	0.2547078566
